priority_order,profile_id,processing_time_scope,processing_time_kind,min_business_days,max_business_days,min_minutes,max_minutes,display_text,schedule_priority_rank,schedule_blocker_type,confidence,variance,source_authority,source_url,last_checked,notes
10,health_certificate,document,issuer_processing_time,5,5,,,5일(휴일 제외),10,critical_prerequisite,medium,local_variance,영등포구 보건소,https://www.ydp.go.kr/health/contents.do?key=5690,2026-06-13,보건소별 발급 가능일 차이가 있어 관할 보건소 기준 재확인이 필요합니다.
20,hygiene_training,document,education_duration,0,0,360,360,신규영업자 교육 6시간,20,critical_prerequisite,high,national,한국외식업중앙회,https://foodservice.or.kr/hygiene_edu/new_business/education_guide/,2026-06-13,식품접객업 신규영업자 위생교육 시간 기준입니다.
30,building_register,document,official_processing_time,0,0,0,180,즉시(근무시간 내 3시간),30,unblocks_validation,high,national,정부24,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=15000000098,2026-06-13,주소 확정 뒤 건축물 용도와 위반 여부 확인에 먼저 사용합니다.
35,same_place_history_lookup,internal_validation,internal_or_manual_lookup,,0,0,30,즉시 조회 또는 담당부서 확인 필요,32,unblocks_validation,low,district_specific,,,2026-06-13,공식 민원 처리기간이 아니라 동일 장소 인허가/행정처분 이력 확인을 위한 내부 조회 성격입니다.
40,fire_safety_completion,linked_service,official_processing_time,3,3,,,안전시설등 설치신고 3일 / 완공신고 3일,15,conditional_long_lead,high,national,부산소방재난본부,https://119.busan.go.kr/gijang/gj119help02,2026-06-13,대상인 경우 설계도서와 현장확인이 붙어 일정 리스크가 큽니다.
50,lpg_completion,document,official_processing_time,7,7,,,액화석유가스 특정사용시설 완성검사 총 7일,18,conditional_long_lead,high,national,정부24,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14100000101&HighCtgCD=A03006&tp_seq=,2026-06-13,LPG 사용 조건에서만 해당합니다.
60,food_business_report,linked_service,official_processing_time,0,0,0,180,즉시(근무시간 내 3시간),50,submission_after_prerequisites,high,national_or_district,정부24,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=14600000021&HighCtgCD=A09006&tp_seq=02,2026-06-13,신고증 발급은 즉시이나 필요 시 사후 시설조사가 붙을 수 있습니다.
70,business_registration,linked_service,official_processing_time,2,7,,,신청일부터 2일 이내 / 필요 시 5일 이내 연장,60,after_food_report,high,national,국가법령정보센터,https://www.law.go.kr/lsLawLinkInfo.do?chrClsCd=010202&lsJoLnkSeq=900325371,2026-06-13,필요 시 사업장 확인으로 발급기한이 연장될 수 있습니다.
80,outdoor_ad_report,linked_service,official_processing_time,3,10,,,신고 3일 / 허가 7~10일,35,parallel_optional_permit,medium,district_specific,정부24,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13100000152&tp_seq=02,2026-06-13,지자체와 광고물 종류별 처리기간 차이가 있어 관할 구청 확인이 필요합니다.
90,road_occupation_permit,linked_service,official_processing_time,2,10,,,일시점용 2일 / 일반점용 5일 / 공작물 또는 굴착 10일,25,parallel_optional_permit,medium,permit_type_specific,강남구 도로점용허가서비스,https://road.gangnam.go.kr/precautions.do,2026-06-13,점용 유형과 관리청에 따라 처리기간 차이가 있습니다.
200,applicant_prepared_document,user_prepared,applicant_preparation,,,,,공공 처리기간 없음(사용자 또는 발급기관 준비물),40,user_input_or_attachment,high,not_applicable,해당 없음,,2026-06-13,공공 민원 처리기간이 아니라 사용자가 준비하거나 외부 발급기관에서 준비해야 하는 첨부서류입니다.
